gene,BCC199_G3F,BCC199_G3H,BCC199_G6M,BCC199_G6N,BCC199_S3K,BCC199_S3L,BCC199_S6T,BCC199_S6U,BCC56535_G3F,BCC56535_G3H,BCC56535_G6M,BCC56535_G6N,BCC56535_S3K,BCC56535_S3L,BCC56535_S6T,BCC56535_S6U,HUT2365_G3F,HUT2365_G3H,HUT2365_G6M,HUT2365_G6N,HUT2365_S3K,HUT2365_S3L,HUT2365_S6T,HUT2365_S6U
acu00000_9,112,92,201,189,68,34,89,72,422,662,356,637,238,241,201,207,126,112,166,170,140,97,123,132
acu00000_1,811,3523,401,174,154,241,783,603,26,182,19,86,5,9,3,2,2,4,2,0,51,291,77,46
acu00000_5,347,269,112,67,10,14,4,4,284,4118,933,3590,212,962,361,167,508,594,636,632,9974,11720,5184,5833
acu00000_2,889,1340,1434,882,827,996,1589,1408,368,494,7,35,67,88,6,10,34,26,50,54,35,42,55,39
acu00000_4,2,3,0,0,0,0,2,0,11,164,7,31,5,4,2,1,5,3,1,5,2,8,1,6
acu00000_13,0,0,0,1,1,0,0,0,1,10,1,3,7,5,12,4,6,0,1,3,0,0,2,2
acu00000_14,53,39,78,50,83,130,15,9,3,1,0,4,0,1,1,1,392,392,300,370,178,42,73,136
acu00000_15,634,500,671,320,520,555,396,338,96,88,82,116,149,133,122,123,688,879,787,670,271,130,158,211
acu00002_2,1924,1949,1484,1234,96,163,589,568,102,261,400,489,104,44,166,159,125,115,138,149,112,71,151,185
acu00002_6,368,293,305,278,178,202,244,222,96,81,122,114,141,196,339,308,75,99,84,120,327,97,211,237
acu00002_7,380,307,301,287,407,510,806,800,11,4,35,61,18,45,219,304,57,55,70,68,84,30,20,37
acu00002_8,283,173,170,181,117,85,90,81,59,57,36,68,47,39,107,84,1197,1238,1782,1558,2429,1253,2027,1773
acu00002_9,129,85,115,122,4,1,3,9,9,10,9,16,13,4,7,18,204,215,284,243,256,306,182,228
acu00003_1,10,14,37,33,41,35,19,16,51,59,85,66,58,40,47,62,40,25,37,62,91,37,133,132
acu00003_6,151,64,294,179,29,23,18,13,34,10,20,28,6,6,1,1,18,13,4,17,13,12,10,0
acu00003_3,0,1,2,0,44,57,5,5,1,0,0,1,1,6,0,0,0,0,0,0,916,361,499,460
acu00003_2,36,13,22,24,13,18,22,13,228,119,206,208,43,66,54,61,121,160,161,152,70,68,110,113
acu00003_4,49,27,3,14,1,0,2,0,10,6,5,5,2,9,0,1,2,2,0,1,1,0,0,1
acu00003_7,11,5,2,5,0,0,0,0,36,13,11,13,1,4,18,13,0,0,1,0,1,2,1,3
acu00003_8,0,1,0,0,1,1,1,0,2,5,50,18,9,26,10,13,1,0,1,1,92,70,61,51
acu00003_9,1,0,0,0,1,1,0,0,9,15,1,1,13,22,1,1,12,13,12,15,61,19,23,19
acu00004_3,1070,1061,854,736,759,772,646,668,1,3,2,2,8,8,15,24,3,1,0,0,0,0,0,0
acu00004_4,316,192,176,143,206,162,270,337,104,136,66,149,59,65,91,99,25,13,18,41,30,11,45,38
acu00004_5,1047,693,1195,1033,1684,1921,3250,3117,72,136,332,131,289,178,450,294,32,22,25,38,55,23,64,82
